Time,P (deg/s),Q (deg/s),R (deg/s),P dot (deg/s^2),Q dot (deg/s^2),R dot (deg/s^2),P_{inertial} (deg/s),Q_{inertial} (deg/s),R_{inertial} (deg/s),q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),I_{xx},I_{xy},I_{xz},I_{yx},I_{yy},I_{yz},I_{zx},I_{zy},I_{zz},Mass,Weight,X_{cg},Y_{cg},Z_{cg},Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),navigation/actual-heading-rad,systems/mixture-cmd-norm,guidance/wp-heading-rad,guidance/wp-distance,guidance/wp-heading-deg,guidance/selected_target_heading,guidance/angle-to-heading-rad,ap/roll-control-autopilot-on,ap/roll-autopilot-windup-trigger,ap/limited-roll-angle-rad,ap/roll-attitude-selector,ap/limited-roll-angle-error,ap/roll-rate-pid-control,ap/total-limited-roll-rate,ap/roll-rate-saturation,ap/limited-roll-rate-error,ap/roll-command-pid-control,ap/roll-cmd-smoother,ap/roll-cmd-norm-output,ap/roll-command-selector-steering,fcs/attitude/sensor/phi-rad,fcs/wing-leveler-ap-on-off,fcs/roll-ap-error-pid,fcs/roll-ap-autoswitch,fcs/heading-true-degrees,fcs/heading-error,fcs/heading-error-bias-switch,fcs/heading-corrected,fcs/heading-command,fcs/heading-roll-error-lag,fcs/heading-roll-error,fcs/heading-roll-error-switch,fcs/heading-pi-controller,fcs/roll-command-selector,fcs/altitude-error,fcs/alt-error-lag,fcs/hdot-command,fcs/hdot-error,fcs/ap-alt-hold-switch,fcs/windup-trigger,fcs/altitude-hold-pid,fcs/elevator,fcs/pitch-trim-sum,fcs/elevator-control,fcs/elevator-actuator,fcs/roll-trim-sum,fcs/left-aileron-control,fcs/left-aileron-actuator,fcs/right-aileron-control,fcs/right-aileron-actuator,fcs/effective-aileron-pos,fcs/yaw-trim-sum,fcs/rudder-control,fcs/flaps-control,fcs/flap-position-normalizer,IO320 Power Available (engine 0 in ft-lbs/sec),IO320 HP (engine 0),IO320 equivalent ratio (engine 0),IO320 MAP (engine 0 in inHg),Fixed-Pitch 75-inch Two-Blade Propeller Torque (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Pitch (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Yaw (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller Thrust (engine 0 in lbs),Fixed-Pitch 75-inch Two-Blade Propeller RPM (engine 0),Fuel Tank 0,Fuel Tank 1,/fdm/jsbsim/position/vrp-gc-latitude_deg,/fdm/jsbsim/position/vrp-longitude_deg,/fdm/jsbsim/position/vrp-radius-ft,velocities/pi-deg_sec
0,0,0,0,871.1857357820097,-20602.72238976805,-0.0007620863152679104,0.003328616060457075,0,-0.002525196740169686,1.069610289,934937.272,30,1217.54070066,29.99999999999999,-3.552713678800501e-14,-3.552713678800501e-15,-0.001944355060542913,0.002622015134628996,-1284.127226831477,-542.0859594776845,-867.518836456495,776.1153374767175,-0.001987352480303045,-2.236470796102828e-05,-1316.277042775376,29.99999999999999,-3.552713678800501e-14,-3.552713678800501e-15,1041.827966279854,-629.625768001311,23.90060076798238,9.608377134351477,15.37661769615124,23.90060076798237,29.99999999999998,-3.5527136788005e-14,-5.21804821573823e-15, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,0,0,-6.361109362927035e-15,-1.590277340731758e-15,3.180554681463518e-15,0.9999999999999999,-5.551115123125784e-17,-1.387778780781446e-17,2.775557561562892e-17,-0.215619721255161,0.7833567225164442,0.4342217218072399,0.3889882741226234,-0.215619721255161,0.7833567225164441,0.43422172180724,0.3889882741226234,-6.7851833204555e-15,-6.7851833204555e-14,37,37.185140505342,-122,-8845203.150217218,-14155284.01767529,12578026.7065266,-8845203.150217218,-14155284.01767529,12578026.7065266,0,0,6.5173225572223e-09,0.003,0.999635333,1.20669979,41976995.3,69.1438981,1.20669979,1.20369979,0,1,0.523,0,1.11022302e-16,3.33066907e-15,0.348,0,3.33066907e-15,8.32667268e-15,2.44902138e-15,0,0,0,-1,-5.55111512e-15,0,3.18078897e-15,-3.18078897e-15,0,-3.18078897e-15,-5.55047674e-17,-1.15394527e-19,1.10906908e-16,0,0,0,0,0,0,-5.21804822e-15,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9213,0,0,0,-0,0,130,130,37.000000662376074,-122.000001209257007,20900154.326977808,0.00332861606045707506
0.12,11.72247038696015,-217.7560895000019,-0.3306737499529165,-24.95499772548335,203.1221168832631,0.5408518188668672,11.72452645901116,-217.7561740546628,-0.3343099184975361,1.937592031,1258317.078,40.3790965537,1218.09933101,18.47215919978947,-0.588122615131136,-35.90132149075457,-98.17024941193726,-6.350734967994294,-27.25618544392009,28.42529793686798,46.48371300618599,-18.45733301904443,25.53716108356838,0.004942874880584456,13.32101770684646,18.47215919978947,-0.588122615131136,-35.90132149075457,1031.603904304627,-646.4762008571802,40.34707603077127,-0.6213382691129841,-1.482846255621252,40.34707603077125,31.1849336614142,0.2588640586071363,-25.64964600979257, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,2.6689802035689,2.6689662701665,1.71445760706172,-23.33420928958762,359.5822039665796,0.9792339899731505,0.01391448339451857,-0.2022545012033179,-0.000544771626073886,-0.1340069163222807,0.8425273892277644,0.4746540600812039,0.2165485350383815,-0.1340078637790905,0.8425253124805053,0.4746577463606285,0.2165479487200021,-62.773007055165,-0.83454406077972,37.000009992345,37.18515049231,-121.99999992951,-8845079.22824272,-14155361.36769667,12578031.21667565,-8845203.094931629,-14155283.96795282,12578031.21667565,0.00050136889586885,2.6689662701665,3.2586612731049e-09,6.27889339,0.999538922,1.20669972,41976994,69.1438938,1.20669972,1.21099163,0,1,0.523,0,-0.0299229301,-0.174,0.348,0,-0.383100064,-0.95775016,-1.00032744,0,0,0,-1,6.72625018,0,359.608691,-359.608691,360,0.391308707,0.00682833695,8.67434881e-05,-0.0298361866,0,0,0,-2.66896627,-0.111324005,-0.0133559094,-25.6630019,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29954,29.924,0,0,0,-0,0,130,130,37.0000108822621527,-122.00000112006947,20900156.8771621287,11.7245264590111571
0.24,9.297511333793606,-196.2179257931041,0.0296296071271743,-14.71155468810098,156.167093324861,5.288643613129225,9.297846906352079,-196.2180967552663,0.02546854158436043,1.731275513,1189408.999,38.1702956683,1217.94054196,8.047487093081966,-1.246268863043005,-37.29150354726777,-74.27634975750718,-4.559205709687369,0.5458999788462151,28.68132203064346,47.62668415077509,-23.55938348734996,29.47131834012997,0.03377382186691241,6.52053606803796,8.047487093081966,-1.246268863043005,-37.29150354726777,1035.041480915,-640.8093747030791,37.83704312065322,2.81069204281463,4.174883176147911,37.83704312065324,33.18432100164969,0.1712510289341975,-18.86115012804779, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,5.3447913341224,5.3447634369222,3.91087365584238,-48.19034955794278,358.050414490003,0.9124419264632008,0.02420318413600932,-0.4084867196491246,-0.001592664465326384,-0.03770678117287878,0.8677538151722346,0.4949422776275406,0.02477209568193183,-0.03770699794059975,0.8677494841278037,0.4949498709213255,0.0247717657263619,-77.822344039466,-1.8710528103575,37.00002061495,37.185161110631,-121.99999983931,-8844955.229980914,-14155438.60646142,12578035.91409813,-8845202.964033216,-14155283.80805991,12578035.91409813,0.0010027377917377,5.3447634369222,3.2586612672507e-09,6.25215862,0.999442272,1.20669964,41976992.6,69.1438893,1.20669964,1.23772632,0,1,0.523,0,-0.0682576219,-0.174,0.348,0,-0.33898225,-0.847455624,-0.856328488,0,0,0,-1,11.8181485,0,358.076789,-358.076789,360,1.92321102,0.0335600323,0.000969181771,-0.0672884402,0,0,0,-5.34476344,-0.490576985,-0.0588430179,-18.9199931,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9261,0,-0,-0,0,0,130,130,37.0000215944797404,-122.00000102820546,20900159.3978742585,9.29784690635207944
0.36,8.032656051564008,-179.0825951245231,0.7984898117869321,-5.990596525145953,129.8504421254206,7.392044685760597,8.031369407913971,-179.0828399378607,0.794522329209526,1.58935759,1139597.623,36.5733633525,1217.76371619,0.4056573258316298,-1.717158373236581,-36.53077765620777,-53.09481648449324,-3.336846348863366,9.985919329394207,28.01943496956434,47.11868036235542,-29.38149766599996,30.77844613039932,0.05535342040809206,0.4938044813955142,0.4056573258316298,-1.717158373236581,-36.53077765620777,1038.451400183645,-635.110607348287,34.66517494813051,6.215214758952361,9.864464416666156,34.66517494813048,34.66395127556314,0.04343135973806533,-11.66273992655418, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,7.1796999424696,7.1796624614108,9.356314037250478,-70.63337809907841,353.0382252421176,0.814613173757862,0.03144403264496373,-0.5791470357649438,-0.002315365164377396,0.05210044233371111,0.8556287412143508,0.4926433480972746,-0.149958436548546,0.05210241065471911,0.8556222747991373,0.492654578872557,-0.1499577526752774,-89.363783118982,-2.6910872136415,37.000031807986,37.185172307891,-121.9999997939,-8844830.819604091,-14155515.1610328,12578040.27122833,-8845202.421676332,-14155282.96507063,12578040.27122833,0.0015041066876065,7.1796624614108,3.2586612610772e-09,6.16467942,0.999376,1.20669955,41976991.1,69.1438844,1.20669955,1.32520545,0,1,0.523,0,-0.163298486,-0.174,0.348,0,-0.315354385,-0.788385962,-0.792457158,0,0,0,-1,37.4175487,0,353.064231,-353.064231,360,6.93576947,0.121029177,0.00420696922,-0.159091517,0,0,0,-7.17966246,-1.04807249,-0.125693451,-11.7884334,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9274,0,-0,-0,0,0,130,130,37.0000327182019149,-122.000000991298592,20900161.0884234197,8.0313694079139708
0.48,7.697092154554411,-164.3653506893001,1.73873403846377,0.6158590771872255,115.7891180926358,8.225208588704165,7.694488408139077,-164.3656499225134,1.735480230303601,1.514987042,1112605.856,35.7079240009,1217.57897102,-5.042364407714231,-2.079095621737796,-35.28891836017927,-38.02491114946307,-2.780829664628903,9.552052299860858,26.71378182940925,45.47414397082231,-35.51640487210381,31.1813666760577,0.07292289842007765,-4.304035448403775,-5.042364407714231,-2.079095621737796,-35.28891836017927,1041.741056474083,-629.5451573112812,30.77363856395131,9.499618786152434,15.42064359580944,30.7736385639513,35.46338719718592,-0.1155624217271836,-4.170209861033816, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,8.132128611207,8.1320861559084,117.1577623239496,-86.53014258002011,245.6147553796988,-0.6972679019605909,-0.03637750719241051,0.7158836481730794,0.002179941362622909,0.1328590940375954,0.8158894527122676,0.4729855272230215,-0.3048894112985003,0.1328644299100074,0.8158811748316608,0.4729998060939055,-0.3048870860747064,-98.13183726397,-3.33793740135,37.000043371453,37.185183884093,-121.99999980779,-8844706.006484332,-14155591.03839505,12578044.20492103,-8845201.477215357,-14155281.44597971,12578044.20492103,0.0020054755834754,8.1320861559084,0,4.28978617,0.999341602,1.20669947,41976989.6,69.1438794,1.20669947,-3.08308671,0,1,-0.523,0,-2.0447887,-0.174,0.348,0,-0.308315262,-0.770788155,-0.771158351,0,0,0,-1,1117.77087,0,245.632848,-245.632848,360,30,0.5235,0.0205075172,-2.02428118,0,0,0,-8.13208616,-1.68472261,-0.202029709,-4.37223957,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9283,0,-0,-0,0,0,130,130,37.0000441012551278,-122.000001017549607,20900161.9233649261,7.69448840813907697
0.6,8.053071232142459,-150.9042475499674,2.751296154395224,5.483202435139154,108.8953559703034,8.675805360822295,8.049550401251169,-150.9045774164501,2.74907101588425,1.510352758,1110902.429,35.6532886156,1217.39228292,-9.041565115362658,-2.409346154953079,-34.40351930361966,-28.83102596617527,-2.822621525355647,4.642406685524866,24.91670794985756,42.97822401389382,-41.89340635404574,31.83461439386769,0.09029385658152488,-8.208400652607535,-9.041565115362658,-2.409346154953079,-34.40351930361966,1044.843625585844,-624.229837734051,26.13193939728616,12.59706960934807,20.72661500819811,26.13193939728617,35.47705944365352,-0.3005116303959279,3.527737957350579, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,8.1723644323647,8.1723217705319,172.5145282727406,-69.23511362250176,190.6811228942239,-0.5694235361360173,-0.03951183269124107,0.8210938603039085,0.000723977181148976,0.203087801262675,0.7566235466519335,0.4402367431605446,-0.4387114810459584,0.2030973986177928,0.7566139157000089,0.4402532952129419,-0.438707038122175,-104.72488226699,-3.8748361166634,37.000055063149,37.185195596853,-121.99999989266,-8844580.809245219,-14155666.26189678,12578047.6269062,-8845200.149257142,-14155279.2741455,12578047.6269062,0.0025068444793442,8.1723217705319,-3.2586612482371e-09,3.33101342,0.999340149,1.20669938,41976988.1,69.1438742,1.20669938,-2.12431404,0,1,-0.523,0,-3.01094653,-0.174,0.348,0,-0.313657317,-0.784143292,-0.781785015,0,0,0,-1,176.260695,0,190.695169,-190.695169,360,30,0.5235,0.0450387846,-2.96590774,0,0,0,-8.17232177,-2.30749477,-0.276710796,3.25102716,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29952,29.9289,0,-0,-0,0,0,130,130,37.0000555488921137,-122.000001113943753,20900161.8796650507,8.04955040125116916
0.72,8.923429043353998,-138.0064889893124,3.820420566363482,9.180057210914489,106.4477443545659,9.231683379175593,8.919402633431002,-138.0068218585638,3.819355895218032,1.576919303,1135128.57,36.4300244482,1217.20809193,-12.21053725807114,-2.775144151162751,-34.21034983899636,-23.90542250162943,-3.379909632641453,-1.689595657171431,22.64112890797152,39.64867518250036,-48.6058734773618,33.36833345050479,0.1111471880320229,-11.73806536839164,-12.21053725807114,-2.775144151162751,-34.21034983899636,1047.702423511042,-619.262813997488,20.7059899246299,15.45086887958476,25.68422304458515,20.70598992462991,34.60934163669928,-0.5074846714370389,11.36145290354561, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,7.2800254039466,7.2799873957828,177.0547140288481,-51.93805928902497,186.6789090466602,-0.4383432016795282,-0.04111820011053466,0.8978633577638203,-0.00243350489801432,0.2621997257371064,0.6848278984848584,0.3980231905076648,-0.5512164666429135,0.2622141959686704,0.6848174494977257,0.3980411682081619,-0.5512095832869885,-109.64276511879,-4.3688752906171,37.000066608888,37.185207171666,-122.00000005839,-8844455.25375236,-14155740.86746261,12578050.44523551,-8845198.463652028,-14155276.48550132,12578050.44523551,0.0030082133752131,7.2799873957828,0,3.26116161,0.999372376,1.20669929,41976986.7,69.143869,1.20669929,-2.05446232,0,1,-0.523,0,-3.09018772,-0.174,0.348,0,-0.32818911,-0.820472776,-0.816063708,0,0,0,-1,162.85468,0,186.69266,-186.69266,360,30,0.5235,0.0683736464,-3.02181407,0,0,0,-7.2799874,-2.82985178,-0.3393762,11.0220767,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29952,29.9296,0,-0,-0,0,0,130,130,37.0000668275269504,-122.000001287286125,20900160.9368317425,8.9194026334310017
0.84,10.19422588799791,-125.2398390916613,4.973840997101427,12.154807897025,106.6476270819451,10.1375418950709,10.19005976385355,-125.2401438256694,4.973923763354183,1.715504752,1183978.164,37.9960996543,1217.03239462,-14.94568628526173,-3.23462570148075,-34.78314601891725,-21.2732540549741,-4.388732787147243,-8.044196712728365,19.78272231136781,35.26471719843343,-55.73534898821647,36.09393902524454,0.1391278804448192,-15.3156763392071,-14.94568628526173,-3.23462570148075,-34.78314601891725,1050.254715227004,-614.7553053327479,14.44981883418265,17.99826210244606,30.18226111295199,14.44981883418265,32.74651052798242,-0.7307698836994161,19.25709252606099, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,5.443080663681,5.443052256123,179.2095897271824,-36.10469395795594,185.2325386866536,-0.309854754675411,-0.04126337110380727,0.949857726586673,-0.007593711463289179,-0.3103604795811837,-0.606610071608459,-0.3494558456548095,0.6431027955739269,0.3103801756696976,0.6065993685806601,0.3494744240666005,-0.6430932898982153,-113.25231856625,-4.8835272619223,37.000077700621,37.185218300024,-122.000000313,-8844329.372896781,-14155814.90329597,12578052.56314475,-8845196.453277798,-14155273.128258,12578052.56314475,0.0035095822710819,5.443052256123,0,3.23591768,0.999438722,1.2066992,41976985.3,69.143864,1.2066992,-2.02921848,0,1,-0.523,0,-3.12779739,-0.174,0.348,0,-0.349841099,-0.874602747,-0.868565269,0,0,0,-1,161.779229,0,185.246183,-185.246183,360,30,0.5235,0.0905704519,-3.03722694,0,0,0,-5.44305226,-3.17195191,-0.380461577,18.8766309,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29952,29.9305,0,-0,-0,0,0,130,130,37.0000776595034822,-122.000001543748013,20900159.0783724375,10.1900597638535562
0.96,11.79322446701472,-112.3664263070791,6.259650056709353,14.62241821086613,108.1283406525223,11.47890805910568,11.78920590718592,-112.3666690045965,6.260767454701073,1.92609514,1254578.454,40.2591164039,1216.87630838,-17.41403694370867,-3.839332384243038,-36.09442197605578,-19.17502988825815,-5.804949333903442,-14.0314992979237,16.16253013763341,29.41997482115212,-63.1264906854792,40.10192145033423,0.1784552436515964,-19.1223403246726,-17.41403694370867,-3.839332384243038,-36.09442197605578,1052.420201261745,-610.8568589801844,7.318996782029771,20.1589226344979,34.07119865722503,7.318996782029767,29.75079993936961,-0.9592490199368116,27.10657112038485, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,2.660040743649,2.6600268534723,-179.1126976602384,-21.78210656246995,184.4794919434862,-0.188494947971012,-0.03983779752555091,0.9811514433791685,-0.01498164319068279,-0.348359369547794,-0.5272302141770667,-0.2971643388767664,0.7157984399305451,0.3483844238201883,0.5272198124627423,0.2971827928868226,-0.7157862461644636,-115.75534985997,-5.4723592467874,37.000087988787,37.185228631738,-122.00000066118,-8844203.208057908,-14155888.43301552,12578053.87814973,-8845194.159503393,-14155269.26603982,12578053.87814973,0.0040109511669508,2.6600268534723,0,3.22277454,0.999539245,1.20669911,41976984.1,69.1438593,1.20669911,-2.01607542,0,1,-0.523,0,3.12610631,0.174,0.348,0,-0.0293112559,-0.0732781397,-0.0688853669,0,0,0,-1,-151.495756,0,184.493081,-184.493081,360,30,0.5235,0.111684705,3.23779101,0,0,0,-2.66002685,-3.26088416,-0.391219359,26.7153518,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29951,29.9319,0,-0,-0,0,0,130,130,37.0000877145189477,-122.000001886963005,20900156.2961356603,11.7892059071859201
1.08,120.9786245308954,-65.00026531305305,-28.55985161343834,-141.7672118739202,-185.1381681357248,-20.15253691507932,120.9748924083481,-65.00063372306217,-28.55800991888956,0.8019070303,809511.3689,25.976716531,1217.15908635,-22.34520982657978,-2.489637476136362,13.01088408896581,33.07184971706845,16.70513713731241,17.44608506392968,1.234267925733464,4.418588034278237,-21.08233970314003,10.94152323083417,-0.1571474953864398,18.3951585682841,-22.34520982657978,-2.489637476136362,13.01088408896581,1031.088434585788,-646.2672046991312,25.91489276147085,-1.180843191856985,-1.346753225604084,25.91489276147083,19.57753836279083,-0.2877413129289622,-17.07123306393686, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,2.1680157631636,2.1680044434843,179.0402081417509,-10.98993324398988,185.8195751038803,-0.09605471650460758,-0.04972748955065578,0.9941270834589242,0.003465566860110692,-0.3733541741525159,-0.4497212327782882,-0.2781202546750302,0.7622378876510703,0.3733841888252544,0.4497102807712695,0.2781379633217173,-0.7622231853356204,149.78915776693,-5.4997330602663,37.000095907128,37.185236568954,-122.00000095183,-8844078.274692386,-14155963.96533305,12578055.88322016,-8845193.097969757,-14155267.40744666,12578055.88322016,0.0045123200628196,2.1680044434843,3.2586612256476e-09,3.2461634,0.999557018,1.20669905,41976983.1,69.1438556,1.20669905,-2.03946435,0,1,-0.523,0,-3.12484113,-0.174,0.348,0,-2.31044796,-5.77611991,-3.65713045,0,0,0,-1,197.926439,0,185.833263,-185.833263,360,30,0.5235,0.131769202,-2.99307192,0,0,0,-2.16800444,-3.12063813,-0.37440892,-17.445642,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29954,29.9323,0,-0,0,0,0,130,130,37.0000954890407669,-122.000002235012659,20900155.835673999,120.974892408348069
